ensgene,WT1,WT2,WT3,KO1,KO2,KO3
ENSMUSG00000037335,1488 ,1194 ,1119 ,74 ,78 ,43 
ENSMUSG00000031349,1588 ,1163 ,1079 ,233 ,196 ,194 
ENSMUSG00000053838,3526 ,2695 ,2510 ,929 ,818 ,821 
ENSMUSG00000035105,2199 ,1719 ,1556 ,613 ,446 ,516 
ENSMUSG00000017607,645 ,476 ,440 ,55 ,30 ,39 
ENSMUSG00000083161,292 ,203 ,221 ,1277 ,962 ,1141 
ENSMUSG00000002489,2723 ,2043 ,1948 ,916 ,783 ,804 
ENSMUSG00000033581,8431 ,6491 ,6154 ,3834 ,3111 ,3133 
ENSMUSG00000104968,2226 ,1835 ,1817 ,6665 ,7127 ,6506 
ENSMUSG00000085328,2057 ,1600 ,1452 ,4476 ,4194 ,3946 
ENSMUSG00000024050,12628 ,9762 ,9288 ,22976 ,21452 ,20514 
ENSMUSG00000030016,2144 ,1651 ,1540 ,530 ,563 ,467 
ENSMUSG00000035498,940 ,664 ,640 ,188 ,152 ,175 
ENSMUSG00000032332,854 ,669 ,622 ,2216 ,2301 ,2236 
ENSMUSG00000023906,2032 ,1560 ,1356 ,650 ,565 ,510 
ENSMUSG00000021056,9904 ,7272 ,7430 ,19557 ,19119 ,17907 
ENSMUSG00000002227,8677 ,6835 ,6332 ,4277 ,3309 ,3491 
ENSMUSG00000113388,1380 ,1072 ,1093 ,3469 ,3627 ,3254 
ENSMUSG00000056427,696 ,525 ,447 ,1744 ,1758 ,1591 
ENSMUSG00000025608,3378 ,2612 ,2429 ,1055 ,1093 ,942 
ENSMUSG00000035783,1325 ,981 ,892 ,3093 ,3310 ,2938 
ENSMUSG00000022246,4681 ,3608 ,3454 ,8410 ,6590 ,7202 
ENSMUSG00000024304,649 ,505 ,488 ,1490 ,1294 ,1294 
ENSMUSG00000039431,8188 ,6247 ,5891 ,12831 ,10701 ,11274 
ENSMUSG00000040152,7693 ,5823 ,5259 ,17768 ,20983 ,17892 
ENSMUSG00000019929,729 ,577 ,524 ,1682 ,1694 ,1634 
ENSMUSG00000061331,788 ,574 ,622 ,1781 ,1636 ,1618 
ENSMUSG00000017724,1245 ,1045 ,881 ,2732 ,2206 ,2175 
ENSMUSG00000091177,475 ,382 ,335 ,1764 ,1107 ,1261 
ENSMUSG00000068876,2775 ,2073 ,2067 ,1117 ,1041 ,989 
ENSMUSG00000018569,923 ,711 ,686 ,297 ,233 ,230 
ENSMUSG00000085635,162 ,140 ,94 ,645 ,699 ,600 
ENSMUSG00000048583,11118 ,8821 ,8184 ,900 ,1235 ,988 
ENSMUSG00000022698,8799 ,6801 ,6428 ,4869 ,3973 ,4117 
ENSMUSG00000022382,517 ,401 ,363 ,103 ,82 ,96 
ENSMUSG00000022822,5829 ,4408 ,4064 ,2937 ,2383 ,2547 
ENSMUSG00000026728,6887 ,5319 ,4873 ,11049 ,10346 ,9939 
ENSMUSG00000045667,2167 ,1738 ,1561 ,864 ,799 ,798 
ENSMUSG00000003847,1901 ,1436 ,1417 ,3316 ,2725 ,2914 
ENSMUSG00000022800,3270 ,2627 ,2512 ,1544 ,1378 ,1357 
ENSMUSG00000006998,18412 ,14089 ,13106 ,10390 ,8932 ,8919 
ENSMUSG00000097695,2332 ,1776 ,1717 ,4365 ,4462 ,4006 
ENSMUSG00000060961,4910 ,3767 ,3771 ,9010 ,9090 ,8152 
ENSMUSG00000022102,1546 ,1280 ,1109 ,644 ,496 ,479 
ENSMUSG00000031179,348 ,265 ,233 ,34 ,20 ,43 
ENSMUSG00000023885,1359 ,1061 ,985 ,2667 ,2772 ,2505 
ENSMUSG00000022789,6795 ,5052 ,5097 ,3592 ,2833 ,3050 
ENSMUSG00000068122,59 ,44 ,52 ,340 ,433 ,348 
ENSMUSG00000022884,17160 ,13336 ,12507 ,9278 ,8241 ,8402 
ENSMUSG00000084919,647 ,484 ,504 ,178 ,161 ,138 
ENSMUSG00000020676,62 ,49 ,63 ,341 ,358 ,331 
ENSMUSG00000003235,8370 ,6310 ,5881 ,4498 ,3825 ,3622 
ENSMUSG00000041974,1363 ,1015 ,1026 ,491 ,462 ,464 
ENSMUSG00000030609,4439 ,3440 ,3351 ,7095 ,6604 ,6359 
ENSMUSG00000040703,889 ,675 ,617 ,233 ,247 ,238 
ENSMUSG00000020473,1132 ,869 ,869 ,2092 ,2007 ,2012 
ENSMUSG00000113393,340 ,257 ,248 ,804 ,741 ,692 
ENSMUSG00000003051,1800 ,1316 ,1312 ,554 ,370 ,551 
ENSMUSG00000038418,4179 ,3148 ,2868 ,6866 ,6959 ,6491 
ENSMUSG00000022533,7527 ,5935 ,5605 ,4082 ,3553 ,3718 
ENSMUSG00000099969,2469 ,1955 ,1818 ,4795 ,5353 ,4598 
ENSMUSG00000054889,2186 ,1694 ,1567 ,896 ,619 ,801 
ENSMUSG00000022982,16928 ,13174 ,12621 ,10170 ,7864 ,8183 
ENSMUSG00000027204,883 ,662 ,616 ,1609 ,1577 ,1583 
ENSMUSG00000032011,1402 ,1053 ,1048 ,2587 ,2634 ,2341 
ENSMUSG00000024521,2698 ,2036 ,1929 ,4121 ,3711 ,3621 
ENSMUSG00000026042,957 ,720 ,716 ,1978 ,2164 ,1831 
ENSMUSG00000041372,2162 ,1610 ,1524 ,1026 ,873 ,847 
ENSMUSG00000002020,697 ,551 ,507 ,1431 ,1559 ,1464 
ENSMUSG00000002384,586 ,445 ,397 ,161 ,90 ,115 
ENSMUSG00000022855,4611 ,3694 ,3474 ,2577 ,2153 ,2255 
ENSMUSG00000112622,15656 ,11945 ,11691 ,23709 ,22938 ,21909 
ENSMUSG00000087362,282 ,232 ,210 ,1047 ,618 ,782 
ENSMUSG00000022682,12312 ,9194 ,8646 ,7108 ,6055 ,6137 
ENSMUSG00000003283,732 ,556 ,501 ,232 ,204 ,211 
ENSMUSG00000028776,769 ,612 ,531 ,213 ,221 ,215 
ENSMUSG00000022641,2988 ,2298 ,2185 ,1605 ,1310 ,1354 
ENSMUSG00000022710,22094 ,16902 ,16043 ,13008 ,11339 ,11512 
ENSMUSG00000003528,5150 ,3928 ,3631 ,2679 ,1912 ,2168 
ENSMUSG00000031438,957 ,723 ,703 ,377 ,308 ,324 
ENSMUSG00000019647,614 ,524 ,455 ,1302 ,1321 ,1185 
ENSMUSG00000050914,535 ,441 ,378 ,148 ,130 ,99 
ENSMUSG00000030800,621 ,523 ,445 ,207 ,144 ,164 
ENSMUSG00000024827,11331 ,8567 ,8313 ,6594 ,4950 ,5301 
ENSMUSG00000113924,9282 ,7189 ,6862 ,13729 ,13053 ,12654 
ENSMUSG00000031383,3056 ,2372 ,2225 ,1388 ,882 ,1100 
ENSMUSG00000098274,25607 ,20144 ,19347 ,16135 ,12745 ,13194 
ENSMUSG00000045573,86 ,65 ,75 ,361 ,290 ,291 
ENSMUSG00000025613,26749 ,20409 ,18813 ,16239 ,12688 ,13470 
ENSMUSG00000032548,609 ,462 ,404 ,186 ,152 ,160 
ENSMUSG00000016918,1245 ,966 ,896 ,2490 ,1755 ,2000 
ENSMUSG00000095041,4245 ,3102 ,3051 ,6471 ,5036 ,5453 
ENSMUSG00000020911,1514 ,1163 ,1064 ,555 ,305 ,427 
ENSMUSG00000063358,13117 ,10402 ,9469 ,7997 ,6660 ,6971 
ENSMUSG00000033918,3714 ,2923 ,2682 ,2120 ,1738 ,1774 
ENSMUSG00000023067,2178 ,1670 ,1515 ,3264 ,2843 ,2810 
ENSMUSG00000022750,2448 ,1897 ,1710 ,1269 ,1065 ,1077 
ENSMUSG00000066705,985 ,668 ,632 ,339 ,282 ,302 
ENSMUSG00000024529,655 ,553 ,482 ,1325 ,1431 ,1299 
ENSMUSG00000022781,4809 ,3765 ,3597 ,2386 ,2293 ,2171 
ENSMUSG00000045799,765 ,694 ,642 ,1579 ,1448 ,1394 
ENSMUSG00000003309,1090 ,896 ,794 ,328 ,374 ,270 
ENSMUSG00000050953,6218 ,4751 ,4558 ,10335 ,7563 ,8116 
ENSMUSG00000029093,3984 ,2977 ,2998 ,5737 ,5062 ,5087 
ENSMUSG00000022706,2727 ,2100 ,1958 ,1501 ,1221 ,1274 
ENSMUSG00000061601,1317 ,893 ,844 ,237 ,344 ,245 
ENSMUSG00000034573,1663 ,1231 ,1179 ,776 ,571 ,674 
ENSMUSG00000070436,4640 ,3471 ,3225 ,7133 ,5493 ,5627 
ENSMUSG00000056758,1134 ,970 ,824 ,2725 ,1761 ,2272 
ENSMUSG00000033998,986 ,732 ,726 ,407 ,261 ,317 
ENSMUSG00000051397,205 ,193 ,157 ,15 ,27 ,7 
ENSMUSG00000022774,2832 ,2089 ,1992 ,1242 ,1233 ,1144 
ENSMUSG00000028019,1222 ,968 ,943 ,422 ,459 ,346 
ENSMUSG00000039542,609 ,472 ,431 ,1151 ,926 ,1084 
ENSMUSG00000041774,1175 ,922 ,824 ,529 ,371 ,432 
ENSMUSG00000031375,3873 ,2962 ,2547 ,6553 ,7610 ,6657 
ENSMUSG00000058550,6047 ,4618 ,4403 ,3609 ,2733 ,2940 
