Number,GO ID,Term Type,Description,richfactor,Ratio_in_pop,Pvalue_uncorrected,Pvalue_corrected
10,GO:1902653,BP,secondary alcohol biosynthetic process,0.052631579,61/31745,3.22E-12,5.26E-08
10,GO:0016126,BP,sterol biosynthetic process,0.052631579,64/31745,5.32E-12,5.26E-08
13,GO:0016125,BP,sterol metabolic process,0.068421053,155/31745,1.14E-11,5.48E-08
35,GO:0019752,BP,carboxylic acid metabolic process,0.184210526,1351/31745,2.82E-11,7.48E-08
29,GO:0044283,BP,small molecule biosynthetic process,0.152631579,751/31745,2.84E-11,7.48E-08
12,GO:0008203,BP,cholesterol metabolic process,0.063157895,137/31745,4.32E-11,1.01E-07
12,GO:1902652,BP,secondary alcohol metabolic process,0.063157895,141/31745,6.06E-11,1.17E-07
36,GO:0043436,BP,oxoacid metabolic process,0.189473684,1477/31745,6.09E-11,1.17E-07
15,GO:0034728,BP,nucleosome organization,0.078947368,263/31745,7.22E-11,1.27E-07
36,GO:0006082,BP,organic acid metabolic process,0.189473684,1498/31745,8.79E-11,1.39E-07
10,GO:0006695,BP,cholesterol biosynthetic process,0.052631579,60/31745,9.26E-11,1.39E-07
14,GO:0006334,BP,nucleosome assembly,0.073684211,226/31745,1.07E-10,1.45E-07
16,GO:0008202,BP,steroid metabolic process,0.084210526,323/31745,1.33E-10,1.65E-07
17,GO:0016053,BP,organic acid biosynthetic process,0.089473684,419/31745,7.45E-10,7.47E-07
17,GO:0046394,BP,carboxylic acid biosynthetic process,0.089473684,419/31745,7.45E-10,7.47E-07
19,GO:0006520,BP,cellular amino acid metabolic process,0.1,548/31745,9.84E-10,9.01E-07
18,GO:0031667,BP,response to nutrient levels,0.094736842,493/31745,1.23E-09,1.08E-06
28,GO:0044255,BP,cellular lipid metabolic process,0.147368421,1272/31745,2.85E-09,2.31E-06
18,GO:0009991,BP,response to extracellular stimulus,0.094736842,524/31745,3.21E-09,2.50E-06
15,GO:0043434,BP,response to peptide hormone,0.078947368,358/31745,5.02E-09,3.65E-06
15,GO:0071824,BP,protein-DNA complex subunit organization,0.078947368,359/31745,5.21E-09,3.66E-06
35,GO:0044711,BP,single-organism biosynthetic process,0.184210526,1959/31745,5.57E-09,3.78E-06
31,GO:0006629,BP,lipid metabolic process,0.163157895,1582/31745,5.74E-09,3.78E-06
32,GO:1901700,BP,response to oxygen-containing compound,0.168421053,1680/31745,6.19E-09,3.87E-06
21,GO:0008610,BP,lipid biosynthetic process,0.110526316,767/31745,8.18E-09,4.92E-06
11,GO:0006694,BP,steroid biosynthetic process,0.057894737,174/31745,9.09E-09,5.32E-06
14,GO:0065004,BP,protein-DNA complex assembly,0.073684211,322/31745,1.04E-08,5.93E-06
