GENE,NC_vs_MOD,NC_vs_LLKL,NC_vs_HH,NC_vs_LLH,NC_vs_LC,MOD_vs_LLKL,MOD_vs_HH,MOD_vs_LLH,MOD_vs_LC
ENSRNOG00000002075,0,0,1,0,0,1,1,1,0
ENSRNOG00000054891,0,1,1,1,1,0,1,1,1
ENSRNOG00000001388,1,0,0,0,1,0,1,1,0
ENSRNOG00000005341,0,0,0,0,0,1,1,1,0
ENSRNOG00000009310,0,0,1,0,0,0,1,1,0
ENSRNOG00000059911,0,0,0,0,0,1,1,1,0
ENSRNOG00000018824,0,0,0,0,0,0,1,0,0
ENSRNOG00000002182,0,0,0,0,0,1,1,0,0
ENSRNOG00000048985,1,0,0,0,0,1,1,1,1
ENSRNOG00000007134,0,0,1,1,0,0,1,1,0
ENSRNOG00000001926,0,0,1,1,1,0,1,0,1
ENSRNOG00000033134,0,0,1,0,0,0,1,0,0
ENSRNOG00000005116,0,0,0,0,0,0,1,1,1
ENSRNOG00000002609,1,0,0,0,0,1,1,0,1
ENSRNOG00000030216,0,0,0,0,0,1,1,1,1
ENSRNOG00000052236,0,0,0,0,0,0,1,1,0
ENSRNOG00000037744,0,1,1,0,1,1,1,1,1
ENSRNOG00000014448,1,1,0,0,0,0,1,0,0
ENSRNOG00000015911,0,1,1,1,1,1,1,0,1
ENSRNOG00000033017,0,0,0,0,0,0,1,0,0
ENSRNOG00000005015,0,0,0,0,0,0,1,1,0
ENSRNOG00000020676,0,0,0,0,0,0,1,0,1
ENSRNOG00000005109,0,0,0,0,0,0,1,1,0
ENSRNOG00000012918,1,0,0,0,1,0,1,1,0
ENSRNOG00000001893,1,0,0,0,0,0,1,0,1
ENSRNOG00000028243,0,0,0,1,0,0,1,1,0
ENSRNOG00000013963,1,0,0,1,0,0,1,0,0
ENSRNOG00000007551,0,0,1,1,0,0,1,1,0
ENSRNOG00000019791,0,0,1,0,1,0,1,1,1
ENSRNOG00000017424,0,0,0,0,0,0,1,0,0
ENSRNOG00000060293,0,0,1,0,0,0,1,1,0
ENSRNOG00000052810,0,0,0,0,1,0,1,0,0
ENSRNOG00000025608,0,0,0,0,0,0,1,0,0
ENSRNOG00000001355,0,0,1,0,0,0,1,1,0
ENSRNOG00000001742,0,1,1,1,0,1,1,0,0
ENSRNOG00000029423,1,0,0,0,1,1,1,0,0
ENSRNOG00000055809,0,0,0,0,0,0,1,1,0
ENSRNOG00000000981,0,0,0,0,0,0,1,1,0
ENSRNOG00000047933,1,0,1,0,0,1,0,0,1
ENSRNOG00000001205,1,1,1,0,0,0,0,1,1
ENSRNOG00000001229,0,0,0,0,1,0,0,1,1
ENSRNOG00000018901,0,0,0,0,0,0,0,1,1
ENSRNOG00000016704,0,0,0,0,1,0,0,1,1
ENSRNOG00000051948,0,0,0,0,0,1,0,0,1
ENSRNOG00000053979,0,0,0,0,0,0,0,1,1
ENSRNOG00000057755,0,0,0,0,1,0,0,0,1
ENSRNOG00000012054,0,0,0,0,1,0,0,0,1
ENSRNOG00000008971,0,0,0,0,1,0,0,1,1
ENSRNOG00000057056,1,1,1,1,0,0,0,1,1
ENSRNOG00000004414,0,0,0,0,1,0,0,1,1
ENSRNOG00000030269,0,0,0,0,0,0,0,1,1
ENSRNOG00000011637,0,0,0,0,1,0,0,0,1
ENSRNOG00000001959,1,0,1,0,0,1,0,0,1
ENSRNOG00000001148,0,0,0,0,1,0,0,0,1
ENSRNOG00000017326,1,0,0,0,0,0,0,1,1
ENSRNOG00000010735,0,0,0,0,0,1,0,0,1
ENSRNOG00000001271,1,0,1,1,0,0,0,0,1
ENSRNOG00000016427,0,0,0,0,1,0,0,0,1
ENSRNOG00000050275,0,0,0,0,1,0,0,0,1
ENSRNOG00000061450,0,0,0,0,1,0,0,0,1
ENSRNOG00000020836,1,1,1,0,0,0,0,0,1
ENSRNOG00000008895,1,0,1,0,0,1,0,0,1
ENSRNOG00000049895,1,1,1,0,0,0,0,0,1
ENSRNOG00000012826,0,0,0,0,0,0,0,0,1
ENSRNOG00000014786,0,0,0,0,0,0,0,0,0
ENSRNOG00000017427,0,0,0,0,0,0,0,0,0
ENSRNOG00000014320,0,0,0,1,0,0,0,1,0
ENSRNOG00000034025,0,0,0,1,0,0,0,1,0
ENSRNOG00000014508,0,0,0,0,0,0,0,0,0
ENSRNOG00000018951,1,1,1,0,0,0,0,0,0
ENSRNOG00000030174,1,1,1,0,1,0,0,1,0
ENSRNOG00000049097,0,0,0,1,0,0,0,1,0
ENSRNOG00000047737,0,0,0,1,0,0,0,1,0
ENSRNOG00000057823,0,0,0,0,1,0,0,1,0
ENSRNOG00000000975,0,0,0,0,0,1,0,0,0
ENSRNOG00000005505,0,0,0,1,0,0,0,0,0
ENSRNOG00000045829,1,1,1,0,0,0,0,1,0
ENSRNOG00000000648,0,1,0,0,0,1,0,0,0
ENSRNOG00000032152,0,1,0,0,0,1,0,0,0
ENSRNOG00000007027,0,1,0,0,1,1,0,0,0
ENSRNOG00000014616,0,0,0,0,0,1,0,0,0
ENSRNOG00000051433,0,0,0,0,0,1,0,0,0
ENSRNOG00000006612,1,0,1,1,0,1,0,1,0
ENSRNOG00000019253,0,0,0,0,0,1,0,0,0
ENSRNOG00000006338,1,0,0,0,0,1,0,0,0
ENSRNOG00000000322,0,0,1,0,0,1,0,0,0
ENSRNOG00000049471,0,1,0,0,0,1,0,1,0
ENSRNOG00000003670,0,1,0,0,0,1,0,0,0
ENSRNOG00000057832,0,1,0,0,0,1,0,1,0
ENSRNOG00000004245,1,1,1,1,1,0,0,0,0
ENSRNOG00000034093,0,0,1,1,0,0,0,0,0
ENSRNOG00000002215,0,0,1,0,0,0,0,0,0
