	THI.G1.1	THI.G1.2	THI.G1.3	THI.G1.4	THI.G1.5	THI.G1.6	THI.G1.7	THI.G1.8	THI.G1.9	THI.G1.11	THI.G1.12	THI.G1.13	THF.G1.14	THF.G1.15	THF.G1.16	THF.G1.17	THF.G1.18	THF.G1.20	THF.G1.21	THF.G1.22	THF.G1.23	THF.G1.24	THF.G1.25	THF.G1.26	THI.G40.1	THI.G40.2	THI.G40.3	THI.G40.4	THI.G40.5	THI.G40.6	THI.G40.7	THI.G40.8	THI.G40.10	THI.G40.11	THI.G40.13	THI.G40.14	THF.G40.15	THF.G40.17	THF.G40.18	THF.G40.20	THF.G40.21	THF.G40.22	THF.G40.23	THF.G4024	THF.G40.25	THF.G40.26	THF.G40.27	THF.G40.28
Rhodococcus	22185	13691	13690	13011	20984	22485	27906	16572	16399	13910	31017	37953	8745	25345	975	12957	11066	14012	15014	14204	19296	8431	8438	13256	42305	49120	43715	43199	34947	60608	41665	35672	35523	35591	33251	38241	10118	16633	8886	8511	9313	14503	12508	9547	12738	12427	8007	14818
Hydrogenophaga	22324	27031	25429	23239	20528	19661	14184	20068	17712	23291	14375	12142	39009	22510	23880	33728	38156	38232	35761	32276	13732	42784	42836	41116	15112	8990	15351	17610	21178	6748	9280	12854	22196	19415	25895	13401	33700	36823	49940	44547	40551	36217	29460	35329	40386	46083	42160	40114
Chryseobacterium	13386	12391	5390	13929	3775	11200	8338	8819	15272	16019	10459	6177	4617	9263	4360	5365	4001	4965	6913	6727	21839	3431	3886	4349	6312	6639	5422	5545	6126	3920	9779	13383	6383	6709	4900	8840	2861	5611	3021	4827	6401	5091	4567	3889	4617	3094	3901	6825
Aquamicrobium	5172	6871	7083	8481	5485	8213	7655	5356	9744	5775	7423	2650	13589	5825	21134	14605	12862	7849	8322	5664	4200	11189	12358	7115	387	505	677	610	727	324	428	363	744	532	330	298	57	259	72	132	139	106	141	70	178	78	90	139
Lactobacillus	64	27	258	90	1956	8	62	113	26	16	52	507	41	37	23	6	11	50	46	60	2115	7	24	11	23	195	7	7	4	7	9	39	22	5	16	33	5856	137	108	147	411	161	115	147	158	128	126	145
Stenotrophomonas	841	1372	1503	1666	1316	1539	4207	3219	1230	1284	1554	3804	843	2248	4853	884	1260	2379	1522	2312	1834	875	724	1230	438	519	536	615	563	273	446	1026	734	451	716	1166	393	372	459	495	431	1243	1200	1572	893	1198	1170	761
unidentified_Rhizobiaceae	1922	2374	2496	2340	1731	1392	1980	3921	2414	2388	1213	725	2442	990	3332	1808	1436	1184	1053	3895	1164	1921	1791	2868	384	467	742	660	941	118	828	616	744	1072	529	787	817	789	713	878	870	965	750	545	1291	791	782	853
Streptococcus	0	9	98	4	2	8	11	12	3	3	5	12	1	19	21	0	4	9	10	10	9	4	0	1	2	2	3	3	0	4	1	4	3	0	2	2	2914	2	8	1	4	7	5	5	1	1	4	5
Pigmentiphaga	155	410	283	337	141	100	153	278	93	189	119	278	963	623	1067	686	868	449	457	1200	675	1209	703	709	103	62	141	165	225	35	116	55	167	161	94	101	1651	1184	686	864	942	2863	906	427	1910	1529	1999	1132
Pediococcus	1	7	17	2	2660	2	21	11	2	0	19	427	21	2	2	5	6	11	47	4	7	2	19	1	2	2	1	0	3	0	2	15	1	1	1	3	0	0	0	1	0	0	8	2	3	0	1	5
