	THI.G1.1	THI.G1.2	THI.G1.3	THI.G1.4	THI.G1.5	THI.G1.6	THI.G1.7	THI.G1.8	THI.G1.9	THI.G1.11	THI.G1.12	THI.G1.13
Rhodococcus	0.291598746	0.180360502	0.186786834	0.171363636	0.278605016	0.292523511	0.361739812	0.220517241	0.213369906	0.182413793	0.40539185	0.500329154
Hydrogenophaga	0.293573668	0.356175549	0.34684953	0.305893417	0.272664577	0.255736677	0.183949843	0.267053292	0.230344828	0.30539185	0.187884013	0.160015674
Chryseobacterium	0.175971787	0.163213166	0.073589342	0.18338558	0.05007837	0.145721003	0.108103448	0.117335423	0.198652038	0.210047022	0.136661442	0.081426332
Aquamicrobium	0.06799373	0.090485893	0.096645768	0.111677116	0.072789969	0.1069279	0.099200627	0.071222571	0.126833856	0.075721003	0.097021944	0.034874608
Lactobacillus	0.000830721	0.000360502	0.003605016	0.001191223	0.025956113	9.40E-05	0.000815047	0.00145768	0.00031348	0.000203762	0.000705329	0.006661442
Stenotrophomonas	0.011050157	0.0180721	0.020517241	0.021912226	0.017460815	0.020015674	0.054529781	0.042852665	0.015971787	0.016802508	0.020329154	0.050203762
unidentified_Rhizobiaceae	0.02523511	0.031285266	0.034012539	0.030815047	0.022931034	0.018056426	0.025673981	0.052225705	0.031410658	0.03130094	0.015830721	0.009592476
Streptococcus	0	7.84E-05	0.00130094	9.40E-05	3.13E-05	9.40E-05	0.00015674	0.000141066	7.84E-05	4.70E-05	4.70E-05	0.000172414
Pigmentiphaga	0.002053292	0.005407524	0.003871473	0.004420063	0.00184953	0.001285266	0.001974922	0.003714734	0.001206897	0.002476489	0.001567398	0.003667712
Pediococcus	4.70E-05	7.84E-05	0.000250784	1.57E-05	0.035329154	3.13E-05	0.000266458	0.000141066	3.13E-05	0	0.00023511	0.005611285
unidentified_Cyanobacteria	0.000125392	0.000266458	0.000846395	4.70E-05	0.03322884	9.40E-05	0.00039185	0.000532915	0.000219436	0.000203762	0.000423197	0.003636364
Sphingopyxis	0.005830721	0.014623824	0.015376176	0.02130094	0.006144201	0.009451411	0.014326019	0.024639498	0.032586207	0.01177116	0.013855799	0.009623824
Niabella	0.011175549	0.011677116	0.008369906	0.019184953	0.002805643	0.010360502	0.011504702	0.009514107	0.025172414	0.028949843	0.012178683	0.011677116
unidentified_Clostridiales	0.000266458	0.000532915	0.001332288	9.40E-05	0.02539185	0	3.13E-05	0.000109718	1.57E-05	6.27E-05	0.000266458	0.002946708
Chelatococcus	0.005689655	0.007429467	0.009937304	0.005611285	0.005846395	0.00523511	0.009937304	0.006426332	0.01015674	0.007507837	0.012225705	0.00322884
Achromobacter	0.00968652	0.010062696	0.014028213	0.010109718	0.008056426	0.005815047	0.008918495	0.015626959	0.008338558	0.012884013	0.008244514	0.005
Bifidobacterium	0.000329154	0.000172414	0.005376176	0.015219436	4.70E-05	0.00015674	1.57E-05	0.000172414	4.70E-05	1.57E-05	3.13E-05	7.84E-05
Devosia	0.001191223	0.002241379	0.00200627	0.001630094	0.001708464	0.001677116	0.002351097	0.002648903	0.00315047	0.001442006	0.001959248	0.001191223
Exiguobacterium	0.000172414	9.40E-05	6.27E-05	6.27E-05	1.57E-05	0	1.57E-05	0.00015674	0.000109718	3.13E-05	0	0.000141066
Marinobacterium	0	0	9.40E-05	0	1.57E-05	3.13E-05	3.13E-05	0.011661442	0	0	3.13E-05	1.57E-05
Sphingomonas	0.000548589	0.001081505	0.009890282	0.000595611	0.001426332	0.000485893	0.002664577	0.002100313	0.000721003	0.000517241	0.000564263	0.002210031
Lactococcus	1.57E-05	4.70E-05	0.000282132	0	0.009498433	0	0	0	1.57E-05	0	3.13E-05	0.000862069
Nitratireductor	0.00169279	0.002586207	0.00177116	0.002586207	0.001442006	0.002633229	0.003573668	0.002084639	0.004075235	0.002711599	0.003119122	0.001818182
unidentified_Spirochaetaceae	0	0	9.40E-05	0	0	0	0	0	1.57E-05	0	3.13E-05	0
Bosea	0.001206897	0.001598746	0.002915361	0.001159875	0.001802508	0.001504702	0.002915361	0.003009404	0.002789969	0.002163009	0.00346395	0.001065831
Thiopseudomonas	0	0	3.13E-05	0	0	0	0	0.008040752	0	4.70E-05	4.70E-05	0
Weissella	0	0	6.27E-05	0	0.007507837	0	0.000250784	0.000250784	1.57E-05	0	0	0.001708464
unidentified_Prevotellaceae	0	0.000109718	0.000454545	0.000141066	3.13E-05	0.000297806	0	0.000109718	6.27E-05	0.000125392	0.000862069	0.000297806
Taibaiella	0.003996865	0.003730408	0.003009404	0.004043887	0.002476489	0.002805643	0.00354232	0.005799373	0.004733542	0.007241379	0.0019279	0.003448276
Leuconostoc	0	4.70E-05	9.40E-05	1.57E-05	0.007115987	0	1.57E-05	3.13E-05	0	0	0	0.001112853
Bacteroides	0.000438871	0.001363636	0.006598746	0.000125392	0.000297806	0.000109718	0.000125392	0.000846395	0.000219436	0.000266458	0.000815047	0.001394984
Roseburia	0	0.000125392	0.000188088	0	0	0	3.13E-05	4.70E-05	3.13E-05	0	1.57E-05	1.57E-05
Microbacterium	0.0019279	0.002601881	0.005611285	0.002272727	0.002946708	0.001990596	0.003855799	0.003589342	0.004169279	0.002617555	0.001786834	0.001159875
Subdoligranulum	0	0	0.000109718	3.13E-05	3.13E-05	0.000125392	0	1.57E-05	0	0	9.40E-05	6.27E-05
unidentified_Erysipelotrichaceae	4.70E-05	0	0.000203762	1.57E-05	1.57E-05	0.000125392	1.57E-05	1.57E-05	1.57E-05	0	0	3.13E-05
Halomonas	0	0	3.13E-05	0	0	0	1.57E-05	0.00369906	0	0	0	0
Alloprevotella	0.000188088	6.27E-05	0.000407524	3.13E-05	3.13E-05	3.13E-05	0.000109718	7.84E-05	4.70E-05	0	4.70E-05	0.00015674
